timestamp,lat,lon,alt,groundspeed,heading,battery,mode,armed
2026-09-14 13:48:32,-35.3632624,149.1652375,3.967,0.020449845120310783,26,6,RTL,True
2026-09-14 13:48:32,-35.3632624,149.1652375,3.842,0.019878389313817024,26,6,RTL,True
2026-09-14 13:48:32,-35.3632624,149.1652375,3.717,0.019567029550671577,26,6,RTL,True
2026-09-14 13:48:33,-35.3632624,149.1652375,3.592,0.0192398764193058,26,6,RTL,True
2026-09-14 13:48:33,-35.3632624,149.1652375,3.467,0.018316056579351425,26,6,RTL,True
2026-09-14 13:48:34,-35.3632624,149.1652375,3.342,0.017619863152503967,26,6,RTL,True
2026-09-14 13:48:34,-35.3632624,149.1652375,3.217,0.01868712157011032,26,6,RTL,True
2026-09-14 13:48:34,-35.3632624,149.1652375,3.092,0.021641897037625313,26,6,RTL,True
2026-09-14 13:48:35,-35.3632624,149.1652375,2.967,0.02456125058233738,26,6,RTL,True
2026-09-14 13:48:35,-35.3632624,149.1652375,2.842,0.026640210300683975,26,6,RTL,True
2026-09-14 13:48:35,-35.3632624,149.1652375,2.716,0.02761378139257431,26,6,RTL,True
2026-09-14 13:48:36,-35.3632624,149.1652376,2.591,0.02776951715350151,26,6,RTL,True
2026-09-14 13:48:36,-35.3632624,149.1652376,2.466,0.026355106383562088,26,6,RTL,True
2026-09-14 13:48:36,-35.3632624,149.1652376,2.341,0.024877384305000305,26,6,RTL,True
2026-09-14 13:48:37,-35.3632624,149.1652376,2.216,0.024461612105369568,26,6,RTL,True
2026-09-14 13:48:37,-35.3632624,149.1652376,1.966,0.02518322318792343,26,6,RTL,True
2026-09-14 13:48:38,-35.3632624,149.1652376,1.842,0.02548861689865589,26,5,RTL,True
2026-09-14 13:48:38,-35.3632624,149.1652376,1.591,0.0248227808624506,26,5,RTL,True
2026-09-14 13:48:38,-35.3632624,149.1652376,1.467,0.023054277524352074,26,5,RTL,True
2026-09-14 13:48:39,-35.3632624,149.1652375,1.217,0.023068686947226524,26,5,RTL,True
2026-09-14 13:48:39,-35.3632624,149.1652375,1.092,0.0235186368227005,26,5,RTL,True
2026-09-14 13:48:40,-35.3632624,149.1652375,0.842,0.02399957738816738,26,5,RTL,True
2026-09-14 13:48:40,-35.3632624,149.1652375,0.717,0.025416648015379906,26,5,RTL,True
2026-09-14 13:48:40,-35.3632624,149.1652375,0.465,0.024666743353009224,26,5,RTL,True
2026-09-14 13:48:41,-35.3632624,149.1652375,0.34,0.020544353872537613,26,5,RTL,True
2026-09-14 13:48:41,-35.3632624,149.1652375,0.089,0.01883660815656185,26,5,RTL,True
2026-09-14 13:48:42,-35.3632624,149.1652375,-0.028,0.017830301076173782,26,5,RTL,True
2026-09-14 13:48:42,-35.3632624,149.1652375,-0.015,0.019403988495469093,26,4,RTL,True
2026-09-14 13:48:42,-35.3632624,149.1652375,-0.019,0.021934058517217636,26,4,RTL,True
2026-09-14 13:48:43,-35.3632624,149.1652375,-0.017,0.022001391276717186,26,4,RTL,True
2026-09-14 13:48:43,-35.3632624,149.1652375,-0.017,0.02199435792863369,26,4,RTL,True
2026-09-14 13:48:43,-35.3632624,149.1652375,-0.015,0.022199703380465508,26,4,RTL,True
2026-09-14 13:48:44,-35.3632624,149.1652375,-0.013,0.02193550392985344,26,4,RTL,True
